Scenario;Area;Year;Age;Years
SSP3;Sweden;2030;25+;12.35
SSP3;Sweden;2035;25+;12.47
SSP3;Sweden;2040;25+;12.56
SSP3;Sweden;2045;25+;12.63
SSP3;Sweden;2050;25+;12.68
SSP3;Sweden;2055;25+;12.72
SSP3;Sweden;2060;25+;12.75
SSP3;Sweden;2065;25+;12.77
SSP3;Sweden;2070;25+;12.8
SSP3;Sweden;2075;25+;12.81
SSP3;Sweden;2080;25+;12.82
SSP3;Sweden;2085;25+;12.83
SSP3;Sweden;2090;25+;12.83
SSP3;Sweden;2095;25+;12.84
SSP3;Sweden;2100;25+;12.84
SSP3;Switzerland;2020;25+;12.75
SSP3;Switzerland;2025;25+;12.89
SSP3;Switzerland;2030;25+;13.01
SSP3;Switzerland;2035;25+;13.11
SSP3;Switzerland;2040;25+;13.2
SSP3;Switzerland;2045;25+;13.28
SSP3;Switzerland;2050;25+;13.35
SSP3;Switzerland;2055;25+;13.41
SSP3;Switzerland;2060;25+;13.46
SSP3;Switzerland;2065;25+;13.5
SSP3;Switzerland;2070;25+;13.53
SSP3;Switzerland;2075;25+;13.55
SSP3;Switzerland;2080;25+;13.57
SSP3;Switzerland;2085;25+;13.57
SSP3;Switzerland;2090;25+;13.58
SSP3;Switzerland;2095;25+;13.58
SSP3;Switzerland;2100;25+;13.59
SSP3;Syrian Arab Republic;2020;25+;6.81
SSP3;Syrian Arab Republic;2025;25+;7.09
SSP3;Syrian Arab Republic;2030;25+;7.37
SSP3;Syrian Arab Republic;2035;25+;7.58
SSP3;Syrian Arab Republic;2040;25+;7.72
SSP3;Syrian Arab Republic;2045;25+;7.82
SSP3;Syrian Arab Republic;2050;25+;7.9
SSP3;Syrian Arab Republic;2055;25+;7.97
SSP3;Syrian Arab Republic;2060;25+;8.02
SSP3;Syrian Arab Republic;2065;25+;8.05
SSP3;Syrian Arab Republic;2070;25+;8.08
SSP3;Syrian Arab Republic;2075;25+;8.09
SSP3;Syrian Arab Republic;2080;25+;8.1
SSP3;Syrian Arab Republic;2085;25+;8.11
SSP3;Syrian Arab Republic;2090;25+;8.11
SSP3;Syrian Arab Republic;2095;25+;8.11
SSP3;Syrian Arab Republic;2100;25+;8.12
SSP3;Taiwan Province of China;2020;25+;11.59
SSP3;Taiwan Province of China;2025;25+;11.89
SSP3;Taiwan Province of China;2030;25+;12.13
SSP3;Taiwan Province of China;2035;25+;12.35
SSP3;Taiwan Province of China;2040;25+;12.55
SSP3;Taiwan Province of China;2045;25+;12.73
SSP3;Taiwan Province of China;2050;25+;12.88
SSP3;Taiwan Province of China;2055;25+;12.99
SSP3;Taiwan Province of China;2060;25+;13.08
SSP3;Taiwan Province of China;2065;25+;13.14
SSP3;Taiwan Province of China;2070;25+;13.18
SSP3;Taiwan Province of China;2075;25+;13.2
SSP3;Taiwan Province of China;2080;25+;13.21
SSP3;Taiwan Province of China;2085;25+;13.22
SSP3;Taiwan Province of China;2090;25+;13.22
SSP3;Taiwan Province of China;2095;25+;13.22
SSP3;Taiwan Province of China;2100;25+;13.23
SSP3;Tajikistan;2020;25+;11.51
SSP3;Tajikistan;2025;25+;11.64
SSP3;Tajikistan;2030;25+;11.7
SSP3;Tajikistan;2035;25+;11.74
SSP3;Tajikistan;2040;25+;11.78
SSP3;Tajikistan;2045;25+;11.81
SSP3;Tajikistan;2050;25+;11.84
SSP3;Tajikistan;2055;25+;11.87
SSP3;Tajikistan;2060;25+;11.89
SSP3;Tajikistan;2065;25+;11.91
SSP3;Tajikistan;2070;25+;11.93
SSP3;Tajikistan;2075;25+;11.94
SSP3;Tajikistan;2080;25+;11.95
SSP3;Tajikistan;2085;25+;11.95
SSP3;Tajikistan;2090;25+;11.95
SSP3;Tajikistan;2095;25+;11.96
SSP3;Tajikistan;2100;25+;11.96
SSP3;Thailand;2020;25+;10.04
SSP3;Thailand;2025;25+;10.39
SSP3;Thailand;2030;25+;10.69
SSP3;Thailand;2035;25+;10.98
SSP3;Thailand;2040;25+;11.25
SSP3;Thailand;2045;25+;11.5
SSP3;Thailand;2050;25+;11.74
SSP3;Thailand;2055;25+;11.98
SSP3;Thailand;2060;25+;12.19
SSP3;Thailand;2065;25+;12.38
SSP3;Thailand;2070;25+;12.53
SSP3;Thailand;2075;25+;12.63
SSP3;Thailand;2080;25+;12.7
SSP3;Thailand;2085;25+;12.75
SSP3;Thailand;2090;25+;12.77
SSP3;Thailand;2095;25+;12.78
SSP3;Thailand;2100;25+;12.78
SSP3;The former Yugoslav Republic of Macedonia;2020;25+;10.54
SSP3;The former Yugoslav Republic of Macedonia;2025;25+;11.04
SSP3;The former Yugoslav Republic of Macedonia;2030;25+;11.4
SSP3;The former Yugoslav Republic of Macedonia;2035;25+;11.7
SSP3;The former Yugoslav Republic of Macedonia;2040;25+;11.98
SSP3;The former Yugoslav Republic of Macedonia;2045;25+;12.23
SSP3;The former Yugoslav Republic of Macedonia;2050;25+;12.46
SSP3;The former Yugoslav Republic of Macedonia;2055;25+;12.67
SSP3;The former Yugoslav Republic of Macedonia;2060;25+;12.86
SSP3;The former Yugoslav Republic of Macedonia;2065;25+;13.02
SSP3;The former Yugoslav Republic of Macedonia;2070;25+;13.15
SSP3;The former Yugoslav Republic of Macedonia;2075;25+;13.24
SSP3;The former Yugoslav Republic of Macedonia;2080;25+;13.29
SSP3;The former Yugoslav Republic of Macedonia;2085;25+;13.31
SSP3;The former Yugoslav Republic of Macedonia;2090;25+;13.32
SSP3;The former Yugoslav Republic of Macedonia;2095;25+;13.32
SSP3;The former Yugoslav Republic of Macedonia;2100;25+;13.32
SSP3;Timor-Leste;2020;25+;6.3
SSP3;Timor-Leste;2025;25+;7.31
SSP3;Timor-Leste;2030;25+;8.17
SSP3;Timor-Leste;2035;25+;8.8
SSP3;Timor-Leste;2040;25+;9.26
SSP3;Timor-Leste;2045;25+;9.6
SSP3;Timor-Leste;2050;25+;9.86
SSP3;Timor-Leste;2055;25+;10.07
SSP3;Timor-Leste;2060;25+;10.22
SSP3;Timor-Leste;2065;25+;10.33
SSP3;Timor-Leste;2070;25+;10.4
SSP3;Timor-Leste;2075;25+;10.45
SSP3;Timor-Leste;2080;25+;10.48
SSP3;Timor-Leste;2085;25+;10.49
SSP3;Timor-Leste;2090;25+;10.5
SSP3;Timor-Leste;2095;25+;10.5
SSP3;Timor-Leste;2100;25+;10.51
SSP3;Togo;2020;25+;5.64
SSP3;Togo;2025;25+;6.25
SSP3;Togo;2030;25+;6.84
SSP3;Togo;2035;25+;7.32
SSP3;Togo;2040;25+;7.71
SSP3;Togo;2045;25+;8.02
SSP3;Togo;2050;25+;8.26
SSP3;Togo;2055;25+;8.46
SSP3;Togo;2060;25+;8.61
SSP3;Togo;2065;25+;8.71
SSP3;Togo;2070;25+;8.77
SSP3;Togo;2075;25+;8.81
SSP3;Togo;2080;25+;8.83
SSP3;Togo;2085;25+;8.84
SSP3;Togo;2090;25+;8.84
SSP3;Togo;2095;25+;8.85
SSP3;Togo;2100;25+;8.85
SSP3;Tonga;2020;25+;10.81
SSP3;Tonga;2025;25+;11.18
SSP3;Tonga;2030;25+;11.58
SSP3;Tonga;2035;25+;11.88
SSP3;Tonga;2040;25+;12.13
SSP3;Tonga;2045;25+;12.31
SSP3;Tonga;2050;25+;12.46
SSP3;Tonga;2055;25+;12.59
SSP3;Tonga;2060;25+;12.69
SSP3;Tonga;2065;25+;12.77
SSP3;Tonga;2070;25+;12.83
SSP3;Tonga;2075;25+;12.88
SSP3;Tonga;2080;25+;12.92
SSP3;Tonga;2085;25+;12.95
SSP3;Tonga;2090;25+;12.96
SSP3;Tonga;2095;25+;12.97
SSP3;Tonga;2100;25+;12.98
SSP3;Trinidad and Tobago;2020;25+;11.29
SSP3;Trinidad and Tobago;2025;25+;11.58
SSP3;Trinidad and Tobago;2030;25+;11.84
SSP3;Trinidad and Tobago;2035;25+;12.09
SSP3;Trinidad and Tobago;2040;25+;12.32
SSP3;Trinidad and Tobago;2045;25+;12.51
SSP3;Trinidad and Tobago;2050;25+;12.69
SSP3;Trinidad and Tobago;2055;25+;12.84
SSP3;Trinidad and Tobago;2060;25+;12.96
SSP3;Trinidad and Tobago;2065;25+;13.05
SSP3;Trinidad and Tobago;2070;25+;13.13
SSP3;Trinidad and Tobago;2075;25+;13.19
SSP3;Trinidad and Tobago;2080;25+;13.22
SSP3;Trinidad and Tobago;2085;25+;13.24
SSP3;Trinidad and Tobago;2090;25+;13.26
SSP3;Trinidad and Tobago;2095;25+;13.27
SSP3;Trinidad and Tobago;2100;25+;13.27
SSP3;Tunisia;2020;25+;8.78
SSP3;Tunisia;2025;25+;9.53
SSP3;Tunisia;2030;25+;10.16
SSP3;Tunisia;2035;25+;10.74
SSP3;Tunisia;2040;25+;11.3
SSP3;Tunisia;2045;25+;11.78
SSP3;Tunisia;2050;25+;12.19
SSP3;Tunisia;2055;25+;12.54
SSP3;Tunisia;2060;25+;12.82
SSP3;Tunisia;2065;25+;13.05
SSP3;Tunisia;2070;25+;13.21
SSP3;Tunisia;2075;25+;13.32
SSP3;Tunisia;2080;25+;13.38
SSP3;Tunisia;2085;25+;13.4
SSP3;Tunisia;2090;25+;13.42
SSP3;Tunisia;2095;25+;13.42
SSP3;Tunisia;2100;25+;13.42
SSP3;Turkey;2020;25+;9.13
SSP3;Turkey;2025;25+;9.69
SSP3;Turkey;2030;25+;10.14
SSP3;Turkey;2035;25+;10.53
SSP3;Turkey;2040;25+;10.89
SSP3;Turkey;2045;25+;11.21
SSP3;Turkey;2050;25+;11.48
SSP3;Turkey;2055;25+;11.73
SSP3;Turkey;2060;25+;11.95
SSP3;Turkey;2065;25+;12.13
SSP3;Turkey;2070;25+;12.27
SSP3;Turkey;2075;25+;12.37
SSP3;Turkey;2080;25+;12.43
SSP3;Turkey;2085;25+;12.45
SSP3;Turkey;2090;25+;12.46
SSP3;Turkey;2095;25+;12.46
SSP3;Turkey;2100;25+;12.47
SSP3;Turkmenistan;2020;25+;10.72
SSP3;Turkmenistan;2025;25+;11.02
SSP3;Turkmenistan;2030;25+;11.22
SSP3;Turkmenistan;2035;25+;11.42
SSP3;Turkmenistan;2040;25+;11.61
SSP3;Turkmenistan;2045;25+;11.79
SSP3;Turkmenistan;2050;25+;11.95
SSP3;Turkmenistan;2055;25+;12.1
SSP3;Turkmenistan;2060;25+;12.24
SSP3;Turkmenistan;2065;25+;12.37
SSP3;Turkmenistan;2070;25+;12.49
SSP3;Turkmenistan;2075;25+;12.57
SSP3;Turkmenistan;2080;25+;12.63
SSP3;Turkmenistan;2085;25+;12.65
SSP3;Turkmenistan;2090;25+;12.66
SSP3;Turkmenistan;2095;25+;12.66
SSP3;Turkmenistan;2100;25+;12.66
SSP3;Uganda;2020;25+;6.78
SSP3;Uganda;2025;25+;7.33
SSP3;Uganda;2030;25+;7.8
SSP3;Uganda;2035;25+;8.14
SSP3;Uganda;2040;25+;8.39
SSP3;Uganda;2045;25+;8.58
SSP3;Uganda;2050;25+;8.72
SSP3;Uganda;2055;25+;8.83
SSP3;Uganda;2060;25+;8.9
SSP3;Uganda;2065;25+;8.95
SSP3;Uganda;2070;25+;8.98
SSP3;Uganda;2075;25+;8.99
SSP3;Uganda;2080;25+;9
SSP3;Uganda;2085;25+;9.01
SSP3;Uganda;2090;25+;9.01
SSP3;Uganda;2095;25+;9.02
SSP3;Uganda;2100;25+;9.02
SSP3;Ukraine;2020;25+;10.8
SSP3;Ukraine;2025;25+;11.01
SSP3;Ukraine;2030;25+;11.18
SSP3;Ukraine;2035;25+;11.32
SSP3;Ukraine;2040;25+;11.45
SSP3;Ukraine;2045;25+;11.57
SSP3;Ukraine;2050;25+;11.68
SSP3;Ukraine;2055;25+;11.78
SSP3;Ukraine;2060;25+;11.88
SSP3;Ukraine;2065;25+;11.96
SSP3;Ukraine;2070;25+;12.02
SSP3;Ukraine;2075;25+;12.05
SSP3;Ukraine;2080;25+;12.07
SSP3;Ukraine;2085;25+;12.08
SSP3;Ukraine;2090;25+;12.08
SSP3;Ukraine;2095;25+;12.08
SSP3;Ukraine;2100;25+;12.08
SSP3;United Arab Emirates;2020;25+;11.61
SSP3;United Arab Emirates;2025;25+;11.77
SSP3;United Arab Emirates;2030;25+;11.84
SSP3;United Arab Emirates;2035;25+;11.9
SSP3;United Arab Emirates;2040;25+;11.98
SSP3;United Arab Emirates;2045;25+;12.06
SSP3;United Arab Emirates;2050;25+;12.14
SSP3;United Arab Emirates;2055;25+;12.23
SSP3;United Arab Emirates;2060;25+;12.32
SSP3;United Arab Emirates;2065;25+;12.42
SSP3;United Arab Emirates;2070;25+;12.51
SSP3;United Arab Emirates;2075;25+;12.59
SSP3;United Arab Emirates;2080;25+;12.64
SSP3;United Arab Emirates;2085;25+;12.66
SSP3;United Arab Emirates;2090;25+;12.69
SSP3;United Arab Emirates;2095;25+;12.73
SSP3;United Arab Emirates;2100;25+;12.79
SSP3;United Kingdom of Great Britain and Northern Ireland;2020;25+;12.56
SSP3;United Kingdom of Great Britain and Northern Ireland;2025;25+;12.74
SSP3;United Kingdom of Great Britain and Northern Ireland;2030;25+;12.9
SSP3;United Kingdom of Great Britain and Northern Ireland;2035;25+;13.04
SSP3;United Kingdom of Great Britain and Northern Ireland;2040;25+;13.15
SSP3;United Kingdom of Great Britain and Northern Ireland;2045;25+;13.25
SSP3;United Kingdom of Great Britain and Northern Ireland;2050;25+;13.34
SSP3;United Kingdom of Great Britain and Northern Ireland;2055;25+;13.41
SSP3;United Kingdom of Great Britain and Northern Ireland;2060;25+;13.47
SSP3;United Kingdom of Great Britain and Northern Ireland;2065;25+;13.51
SSP3;United Kingdom of Great Britain and Northern Ireland;2070;25+;13.54
SSP3;United Kingdom of Great Britain and Northern Ireland;2075;25+;13.56
SSP3;United Kingdom of Great Britain and Northern Ireland;2080;25+;13.58
SSP3;United Kingdom of Great Britain and Northern Ireland;2085;25+;13.58
SSP3;United Kingdom of Great Britain and Northern Ireland;2090;25+;13.58
SSP3;United Kingdom of Great Britain and Northern Ireland;2095;25+;13.58
SSP3;United Kingdom of Great Britain and Northern Ireland;2100;25+;13.58
SSP3;United Republic of Tanzania;2020;25+;6.71
SSP3;United Republic of Tanzania;2025;25+;7.24
SSP3;United Republic of Tanzania;2030;25+;7.69
SSP3;United Republic of Tanzania;2035;25+;8.05
SSP3;United Republic of Tanzania;2040;25+;8.31
SSP3;United Republic of Tanzania;2045;25+;8.51
SSP3;United Republic of Tanzania;2050;25+;8.66
SSP3;United Republic of Tanzania;2055;25+;8.78
SSP3;United Republic of Tanzania;2060;25+;8.86
SSP3;United Republic of Tanzania;2065;25+;8.92
SSP3;United Republic of Tanzania;2070;25+;8.95
SSP3;United Republic of Tanzania;2075;25+;8.98
SSP3;United Republic of Tanzania;2080;25+;8.99
SSP3;United Republic of Tanzania;2085;25+;9
SSP3;United Republic of Tanzania;2090;25+;9
SSP3;United Republic of Tanzania;2095;25+;9
SSP3;United Republic of Tanzania;2100;25+;9
SSP3;United States Virgin Islands;2020;25+;9.33
SSP3;United States Virgin Islands;2025;25+;9.73
SSP3;United States Virgin Islands;2030;25+;10.12
SSP3;United States Virgin Islands;2035;25+;10.49
SSP3;United States Virgin Islands;2040;25+;10.83
SSP3;United States Virgin Islands;2045;25+;11.11
SSP3;United States Virgin Islands;2050;25+;11.34
SSP3;United States Virgin Islands;2055;25+;11.53
SSP3;United States Virgin Islands;2060;25+;11.67
SSP3;United States Virgin Islands;2065;25+;11.78
SSP3;United States Virgin Islands;2070;25+;11.85
SSP3;United States Virgin Islands;2075;25+;11.9
SSP3;United States Virgin Islands;2080;25+;11.94
SSP3;United States Virgin Islands;2085;25+;11.96
SSP3;United States Virgin Islands;2090;25+;11.98
SSP3;United States Virgin Islands;2095;25+;12
SSP3;United States Virgin Islands;2100;25+;12.02
SSP3;United States of America;2020;25+;12.34
SSP3;United States of America;2025;25+;12.42
SSP3;United States of America;2030;25+;12.49
SSP3;United States of America;2035;25+;12.55
SSP3;United States of America;2040;25+;12.59
SSP3;United States of America;2045;25+;12.63
SSP3;United States of America;2050;25+;12.67
SSP3;United States of America;2055;25+;12.7
SSP3;United States of America;2060;25+;12.73
SSP3;United States of America;2065;25+;12.75
SSP3;United States of America;2070;25+;12.77
SSP3;United States of America;2075;25+;12.78
SSP3;United States of America;2080;25+;12.79
SSP3;United States of America;2085;25+;12.8
SSP3;United States of America;2090;25+;12.8
SSP3;United States of America;2095;25+;12.8
SSP3;United States of America;2100;25+;12.81
SSP3;Uruguay;2020;25+;9.02
SSP3;Uruguay;2025;25+;9.31
SSP3;Uruguay;2030;25+;9.54
SSP3;Uruguay;2035;25+;9.73
SSP3;Uruguay;2040;25+;9.88
SSP3;Uruguay;2045;25+;9.99
SSP3;Uruguay;2050;25+;10.09
SSP3;Uruguay;2055;25+;10.18
SSP3;Uruguay;2060;25+;10.25
SSP3;Uruguay;2065;25+;10.31
SSP3;Uruguay;2070;25+;10.36
SSP3;Uruguay;2075;25+;10.4
SSP3;Uruguay;2080;25+;10.43
SSP3;Uruguay;2085;25+;10.45
SSP3;Uruguay;2090;25+;10.46
SSP3;Uruguay;2095;25+;10.46
SSP3;Uruguay;2100;25+;10.46
SSP3;Uzbekistan;2020;25+;11.05
SSP3;Uzbekistan;2025;25+;11.32
SSP3;Uzbekistan;2030;25+;11.51
SSP3;Uzbekistan;2035;25+;11.68
SSP3;Uzbekistan;2040;25+;11.84
SSP3;Uzbekistan;2045;25+;11.98
SSP3;Uzbekistan;2050;25+;12.1
SSP3;Uzbekistan;2055;25+;12.19
SSP3;Uzbekistan;2060;25+;12.26
SSP3;Uzbekistan;2065;25+;12.31
SSP3;Uzbekistan;2070;25+;12.34
SSP3;Uzbekistan;2075;25+;12.36
SSP3;Uzbekistan;2080;25+;12.36
SSP3;Uzbekistan;2085;25+;12.36
SSP3;Uzbekistan;2090;25+;12.37
SSP3;Uzbekistan;2095;25+;12.37
SSP3;Uzbekistan;2100;25+;12.37
SSP3;Vanuatu;2020;25+;7.03
SSP3;Vanuatu;2025;25+;7.43
SSP3;Vanuatu;2030;25+;7.76
SSP3;Vanuatu;2035;25+;8.03
SSP3;Vanuatu;2040;25+;8.25
SSP3;Vanuatu;2045;25+;8.42
SSP3;Vanuatu;2050;25+;8.55
SSP3;Vanuatu;2055;25+;8.66
SSP3;Vanuatu;2060;25+;8.74
SSP3;Vanuatu;2065;25+;8.81
SSP3;Vanuatu;2070;25+;8.86
SSP3;Vanuatu;2075;25+;8.89
SSP3;Vanuatu;2080;25+;8.92
SSP3;Vanuatu;2085;25+;8.93
SSP3;Vanuatu;2090;25+;8.94
SSP3;Vanuatu;2095;25+;8.94
SSP3;Vanuatu;2100;25+;8.95
SSP3;Venezuela (Bolivarian Republic of);2020;25+;9.68
SSP3;Venezuela (Bolivarian Republic of);2025;25+;10
SSP3;Venezuela (Bolivarian Republic of);2030;25+;10.3
SSP3;Venezuela (Bolivarian Republic of);2035;25+;10.56
SSP3;Venezuela (Bolivarian Republic of);2040;25+;10.77
SSP3;Venezuela (Bolivarian Republic of);2045;25+;10.93
SSP3;Venezuela (Bolivarian Republic of);2050;25+;11.07
SSP3;Venezuela (Bolivarian Republic of);2055;25+;11.18
SSP3;Venezuela (Bolivarian Republic of);2060;25+;11.27
SSP3;Venezuela (Bolivarian Republic of);2065;25+;11.34
SSP3;Venezuela (Bolivarian Republic of);2070;25+;11.39
SSP3;Venezuela (Bolivarian Republic of);2075;25+;11.42
SSP3;Venezuela (Bolivarian Republic of);2080;25+;11.44
SSP3;Venezuela (Bolivarian Republic of);2085;25+;11.45
SSP3;Venezuela (Bolivarian Republic of);2090;25+;11.46
SSP3;Venezuela (Bolivarian Republic of);2095;25+;11.46
SSP3;Venezuela (Bolivarian Republic of);2100;25+;11.46
SSP3;Viet Nam;2020;25+;8.15
SSP3;Viet Nam;2025;25+;8.57
SSP3;Viet Nam;2030;25+;8.93
SSP3;Viet Nam;2035;25+;9.25
SSP3;Viet Nam;2040;25+;9.56
SSP3;Viet Nam;2045;25+;9.83
SSP3;Viet Nam;2050;25+;10.09
SSP3;Viet Nam;2055;25+;10.33
SSP3;Viet Nam;2060;25+;10.55
SSP3;Viet Nam;2065;25+;10.75
SSP3;Viet Nam;2070;25+;10.91
SSP3;Viet Nam;2075;25+;11.04
SSP3;Viet Nam;2080;25+;11.13
SSP3;Viet Nam;2085;25+;11.18
SSP3;Viet Nam;2090;25+;11.2
SSP3;Viet Nam;2095;25+;11.2
SSP3;Viet Nam;2100;25+;11.2
SSP3;Western Sahara;2020;25+;2.99
SSP3;Western Sahara;2025;25+;3.36
SSP3;Western Sahara;2030;25+;3.74
SSP3;Western Sahara;2035;25+;4.09
SSP3;Western Sahara;2040;25+;4.41
SSP3;Western Sahara;2045;25+;4.71
SSP3;Western Sahara;2050;25+;4.98
SSP3;Western Sahara;2055;25+;5.22
SSP3;Western Sahara;2060;25+;5.44
SSP3;Western Sahara;2065;25+;5.61
SSP3;Western Sahara;2070;25+;5.74
SSP3;Western Sahara;2075;25+;5.82
SSP3;Western Sahara;2080;25+;5.84
SSP3;Western Sahara;2085;25+;5.84
SSP3;Western Sahara;2090;25+;5.81
SSP3;Western Sahara;2095;25+;5.77
SSP3;Western Sahara;2100;25+;5.73
SSP3;World;2020;25+;8.49
SSP3;World;2025;25+;8.83
SSP3;World;2030;25+;9.13
SSP3;World;2035;25+;9.39
SSP3;World;2040;25+;9.62
SSP3;World;2045;25+;9.8
SSP3;World;2050;25+;9.94
SSP3;World;2055;25+;10.05
SSP3;World;2060;25+;10.13
SSP3;World;2065;25+;10.18
SSP3;World;2070;25+;10.21
SSP3;World;2075;25+;10.2
SSP3;World;2080;25+;10.17
SSP3;World;2085;25+;10.13
SSP3;World;2090;25+;10.07
SSP3;World;2095;25+;10.03
SSP3;World;2100;25+;9.98
SSP3;Yemen;2020;25+;3.1
SSP3;Yemen;2025;25+;4.45
SSP3;Yemen;2030;25+;5.6
SSP3;Yemen;2035;25+;6.53
SSP3;Yemen;2040;25+;7.28
SSP3;Yemen;2045;25+;7.89
SSP3;Yemen;2050;25+;8.39
SSP3;Yemen;2055;25+;8.8
SSP3;Yemen;2060;25+;9.14
SSP3;Yemen;2065;25+;9.43
SSP3;Yemen;2070;25+;9.65
SSP3;Yemen;2075;25+;9.81
SSP3;Yemen;2080;25+;9.9
SSP3;Yemen;2085;25+;9.94
SSP3;Yemen;2090;25+;9.97
SSP3;Yemen;2095;25+;9.98
SSP3;Yemen;2100;25+;9.99
SSP3;Zambia;2020;25+;7.8
SSP3;Zambia;2025;25+;8.13
SSP3;Zambia;2030;25+;8.4
SSP3;Zambia;2035;25+;8.6
SSP3;Zambia;2040;25+;8.76
SSP3;Zambia;2045;25+;8.89
SSP3;Zambia;2050;25+;8.98
SSP3;Zambia;2055;25+;9.05
SSP3;Zambia;2060;25+;9.11
SSP3;Zambia;2065;25+;9.15
SSP3;Zambia;2070;25+;9.17
SSP3;Zambia;2075;25+;9.19
SSP3;Zambia;2080;25+;9.2
SSP3;Zambia;2085;25+;9.21
SSP3;Zambia;2090;25+;9.21
SSP3;Zambia;2095;25+;9.22
SSP3;Zambia;2100;25+;9.22
SSP3;Zimbabwe;2020;25+;10.42
SSP3;Zimbabwe;2025;25+;10.72
SSP3;Zimbabwe;2030;25+;11.15
SSP3;Zimbabwe;2035;25+;11.46
SSP3;Zimbabwe;2040;25+;11.7
SSP3;Zimbabwe;2045;25+;11.87
SSP3;Zimbabwe;2050;25+;12
SSP3;Zimbabwe;2055;25+;12.09
SSP3;Zimbabwe;2060;25+;12.16
SSP3;Zimbabwe;2065;25+;12.22
SSP3;Zimbabwe;2070;25+;12.27
SSP3;Zimbabwe;2075;25+;12.31
SSP3;Zimbabwe;2080;25+;12.33
SSP3;Zimbabwe;2085;25+;12.36
SSP3;Zimbabwe;2090;25+;12.37
SSP3;Zimbabwe;2095;25+;12.38
SSP3;Zimbabwe;2100;25+;12.39
SSP4;Afghanistan;2020;25+;2.72
SSP4;Afghanistan;2025;25+;3.47
SSP4;Afghanistan;2030;25+;4.16
SSP4;Afghanistan;2035;25+;4.62
SSP4;Afghanistan;2040;25+;4.96
SSP4;Afghanistan;2045;25+;5.23
SSP4;Afghanistan;2050;25+;5.44
SSP4;Afghanistan;2055;25+;5.61
SSP4;Afghanistan;2060;25+;5.75
SSP4;Afghanistan;2065;25+;5.85
SSP4;Afghanistan;2070;25+;5.92
SSP4;Afghanistan;2075;25+;5.97
SSP4;Afghanistan;2080;25+;6
SSP4;Afghanistan;2085;25+;6.02
SSP4;Afghanistan;2090;25+;6.04
SSP4;Afghanistan;2095;25+;6.07
SSP4;Afghanistan;2100;25+;6.09
SSP4;Albania;2020;25+;10.13
SSP4;Albania;2025;25+;10.46
SSP4;Albania;2030;25+;10.67
SSP4;Albania;2035;25+;10.81
SSP4;Albania;2040;25+;10.94
SSP4;Albania;2045;25+;11.05
SSP4;Albania;2050;25+;11.17
SSP4;Albania;2055;25+;11.28
SSP4;Albania;2060;25+;11.38
SSP4;Albania;2065;25+;11.49
SSP4;Albania;2070;25+;11.61
SSP4;Albania;2075;25+;11.73
SSP4;Albania;2080;25+;11.85
SSP4;Albania;2085;25+;11.98
SSP4;Albania;2090;25+;12.09
SSP4;Albania;2095;25+;12.19
SSP4;Albania;2100;25+;12.3
SSP4;Algeria;2020;25+;8.71
SSP4;Algeria;2025;25+;9.16
SSP4;Algeria;2030;25+;9.51
SSP4;Algeria;2035;25+;9.83
SSP4;Algeria;2040;25+;10.13
SSP4;Algeria;2045;25+;10.4
SSP4;Algeria;2050;25+;10.64
SSP4;Algeria;2055;25+;10.83
SSP4;Algeria;2060;25+;11
SSP4;Algeria;2065;25+;11.14
SSP4;Algeria;2070;25+;11.26
SSP4;Algeria;2075;25+;11.37
SSP4;Algeria;2080;25+;11.46
SSP4;Algeria;2085;25+;11.54
SSP4;Algeria;2090;25+;11.62
SSP4;Algeria;2095;25+;11.7
SSP4;Algeria;2100;25+;11.79
SSP4;Angola;2020;25+;3.14
SSP4;Angola;2025;25+;3.83
SSP4;Angola;2030;25+;4.61
SSP4;Angola;2035;25+;5.22
SSP4;Angola;2040;25+;5.7
SSP4;Angola;2045;25+;6.07
SSP4;Angola;2050;25+;6.37
SSP4;Angola;2055;25+;6.61
SSP4;Angola;2060;25+;6.8
SSP4;Angola;2065;25+;6.94
SSP4;Angola;2070;25+;7.05
SSP4;Angola;2075;25+;7.12
SSP4;Angola;2080;25+;7.16
SSP4;Angola;2085;25+;7.19
SSP4;Angola;2090;25+;7.22
SSP4;Angola;2095;25+;7.24
SSP4;Angola;2100;25+;7.27
SSP4;Antigua and Barbuda;2020;25+;10.44
SSP4;Antigua and Barbuda;2025;25+;10.72
SSP4;Antigua and Barbuda;2030;25+;10.91
SSP4;Antigua and Barbuda;2035;25+;11.03
SSP4;Antigua and Barbuda;2040;25+;11.14
SSP4;Antigua and Barbuda;2045;25+;11.23
SSP4;Antigua and Barbuda;2050;25+;11.3
SSP4;Antigua and Barbuda;2055;25+;11.36
SSP4;Antigua and Barbuda;2060;25+;11.4
SSP4;Antigua and Barbuda;2065;25+;11.43
SSP4;Antigua and Barbuda;2070;25+;11.44
SSP4;Antigua and Barbuda;2075;25+;11.46
SSP4;Antigua and Barbuda;2080;25+;11.48
SSP4;Antigua and Barbuda;2085;25+;11.52
SSP4;Antigua and Barbuda;2090;25+;11.58
SSP4;Antigua and Barbuda;2095;25+;11.65
SSP4;Antigua and Barbuda;2100;25+;11.75
SSP4;Argentina;2020;25+;9.88
SSP4;Argentina;2025;25+;10.13
SSP4;Argentina;2030;25+;10.29
SSP4;Argentina;2035;25+;10.38
SSP4;Argentina;2040;25+;10.44
SSP4;Argentina;2045;25+;10.49
