Scenario;Area;Period;Sex;Years
SSP1;Bhutan;2075-2080;Male;89.3
SSP1;Bhutan;2080-2085;Male;90.9
SSP1;Bhutan;2085-2090;Male;92.5
SSP1;Bhutan;2090-2095;Male;94.1
SSP1;Bhutan;2095-2100;Male;95.6
SSP1;Bolivia (Plurinational State of);2020-2025;Male;63.9
SSP1;Bolivia (Plurinational State of);2025-2030;Male;68.3
SSP1;Bolivia (Plurinational State of);2030-2035;Male;69.9
SSP1;Bolivia (Plurinational State of);2035-2040;Male;71.4
SSP1;Bolivia (Plurinational State of);2040-2045;Male;73
SSP1;Bolivia (Plurinational State of);2045-2050;Male;74.5
SSP1;Bolivia (Plurinational State of);2050-2055;Male;76
SSP1;Bolivia (Plurinational State of);2055-2060;Male;77.5
SSP1;Bolivia (Plurinational State of);2060-2065;Male;79.1
SSP1;Bolivia (Plurinational State of);2065-2070;Male;80.6
SSP1;Bolivia (Plurinational State of);2070-2075;Male;82.1
SSP1;Bolivia (Plurinational State of);2075-2080;Male;83.6
SSP1;Bolivia (Plurinational State of);2080-2085;Male;85.2
SSP1;Bolivia (Plurinational State of);2085-2090;Male;86.7
SSP1;Bolivia (Plurinational State of);2090-2095;Male;88.2
SSP1;Bolivia (Plurinational State of);2095-2100;Male;89.7
SSP1;Bosnia and Herzegovina;2020-2025;Male;74.6
SSP1;Bosnia and Herzegovina;2025-2030;Male;77.9
SSP1;Bosnia and Herzegovina;2030-2035;Male;79.5
SSP1;Bosnia and Herzegovina;2035-2040;Male;81
SSP1;Bosnia and Herzegovina;2040-2045;Male;82.6
SSP1;Bosnia and Herzegovina;2045-2050;Male;84.1
SSP1;Bosnia and Herzegovina;2050-2055;Male;85.7
SSP1;Bosnia and Herzegovina;2055-2060;Male;87.2
SSP1;Bosnia and Herzegovina;2060-2065;Male;88.8
SSP1;Bosnia and Herzegovina;2065-2070;Male;90.3
SSP1;Bosnia and Herzegovina;2070-2075;Male;91.9
SSP1;Bosnia and Herzegovina;2075-2080;Male;93.4
SSP1;Bosnia and Herzegovina;2080-2085;Male;94.8
SSP1;Bosnia and Herzegovina;2085-2090;Male;96.3
SSP1;Bosnia and Herzegovina;2090-2095;Male;97.5
SSP1;Bosnia and Herzegovina;2095-2100;Male;98.7
SSP1;Botswana;2020-2025;Male;64.9
SSP1;Botswana;2025-2030;Male;69.3
SSP1;Botswana;2030-2035;Male;70.9
SSP1;Botswana;2035-2040;Male;72.5
SSP1;Botswana;2040-2045;Male;74.2
SSP1;Botswana;2045-2050;Male;76.7
SSP1;Botswana;2050-2055;Male;77.8
SSP1;Botswana;2055-2060;Male;78.9
SSP1;Botswana;2060-2065;Male;80
SSP1;Botswana;2065-2070;Male;81.1
SSP1;Botswana;2070-2075;Male;82.2
SSP1;Botswana;2075-2080;Male;83.3
SSP1;Botswana;2080-2085;Male;84.3
SSP1;Botswana;2085-2090;Male;85.4
SSP1;Botswana;2090-2095;Male;86.5
SSP1;Botswana;2095-2100;Male;87.5
SSP1;Brazil;2020-2025;Male;71.9
SSP1;Brazil;2025-2030;Male;75
SSP1;Brazil;2030-2035;Male;76.7
