"iso3","year","conflict","trade","exp_health","exp_edu"
"KWT",2007,0,-1.93737354442673,-0.70818808694864,-0.747506603737432
"KWT",2008,0,-1.92789916125437,-0.637156932940894,-0.641084725749663
"KWT",2009,0,-1.96690806538883,-0.580418477897031,-0.686439348446585
"KWT",2010,0,-1.88544622181013,-0.891313974680826,-0.608317342498211
"KWT",2011,0,-1.86574638527306,-0.780735059633189,-0.600730438905021
"KWT",2012,0,-1.84765248859196,-0.924038027128333,-0.369696323452918
"KWT",2013,0,-1.87988778494826,-0.696127204369996,-0.772956912100729
"KWT",2014,0,-1.85680017747269,-0.74172167205003,-0.53007681433852
"KWT",2015,1,-1.86945705214544,-0.826641937663126,-0.802157740186347
"KWT",2016,0,-1.8938305389482,-0.679102413904449,-0.69277851545783
"KWT",2017,0,-1.877653931475,-0.862433327453809,-0.621417157223749
"KWT",2018,0,-1.82810115900963,-0.86983681433077,-0.466485372947971
"KWT",2019,0,-1.87437797312757,-0.772943756455598,-0.513135046492391
"KWT",2020,0,-1.72719485686026,-0.888096921066935,-0.862637643758628
"KWT",2021,0,-2.03249431300418,-0.651726304199143,-0.723979166517414
"KGZ",1990,1,-2.07414379224117,-0.726227184677283,-0.638255742405347
"KGZ",1991,0,-2.15119826229164,-0.456581949811651,-1.20833042529848
"KGZ",1992,0,-2.02564297199019,-1.03249385394536,-0.340240201050219
"KGZ",1993,0,-2.11968869872259,-0.849974628069774,-0.212243852373812
"KGZ",1994,0,-2.12980387123496,-0.652389198753529,-0.309690051756816
"KGZ",1995,0,-2.15327163625632,-0.680574020012588,-0.4555535426124
"KGZ",1996,0,-1.9824898204727,-0.549023846645435,-0.582672391679475
"KGZ",1997,0,-2.01197350284837,-0.641725211499428,-0.443149069929512
"KGZ",1998,0,-1.90989381308915,-0.729207953516696,-0.301064026951786
"KGZ",1999,1,-1.86471208288012,-0.783018099450085,-0.417079256844029
"KGZ",2000,1,-1.96058644720616,-0.631518558451499,-0.161282300588786
"KGZ",2001,0,-2.13076980962446,-0.497579282737604,-0.248042300166804
"KGZ",2002,0,-2.0285427311612,-0.54387248544007,-0.0357094491335072
"KGZ",2003,0,-2.01774469062205,-0.719017226760419,-0.213410011041367
"KGZ",2004,0,-1.91670490411534,-0.833676585859868,-0.0421603201113708
"KGZ",2005,0,-1.90427571487411,-0.509258869316175,-0.397587636697876
"KGZ",2006,0,-1.6741398853858,-0.83271374785895,0.0296921050943432
"KGZ",2007,0,-1.54491531375065,-0.96113109647654,0.231279766609225
"KGZ",2008,0,-1.47766975920307,-1.00385975414689,0.136941271071494
"KGZ",2009,0,-1.57311676478732,-0.860963409857273,0.161978563872744
"KGZ",2010,1,-1.57424897640097,-0.9179246175643,0.0724987198736565
"KGZ",2011,0,-1.55160252021606,-0.860513555508575,0.118830092166857
"KGZ",2012,0,-1.52516167652571,-0.638809792289117,0.205578714119827
"KGZ",2013,0,-1.56811485172889,-1.02348837811123,0.454961666781084
"KGZ",2014,0,-1.63835224691768,-0.724967933700576,0.449295001620226
"KGZ",2015,0,-1.7575298226065,-0.817474341048799,0.540213132921878
"KGZ",2016,0,-1.8033385155937,-0.644368077745782,0.473052065049909
"KGZ",2017,0,-1.85134243811279,-0.760317914289178,0.858238079681859
"KGZ",2018,0,-1.8677847695084,-0.641690269104307,0.528873678449513
"KGZ",2019,0,-1.63768874511496,-0.832918118276566,0.795202345914526
"KGZ",2020,0,-1.42545789482384,-0.876949596409536,0.859665277213548
"KGZ",2021,1,-1.44902384027627,-0.976456101368242,0.878670855214037
"LAO",1990,1,-2.67557765473567,-0.357534814579184,-1.47161726971998
"LAO",1991,0,-2.63371359433316,-0.00369136795303937,-2.15183618440152
"LAO",1992,0,-2.53344274465285,-0.586811084635151,-1.42306989466004
"LAO",1993,0,-2.40358694426839,-0.620755594556669,-1.50575103291396
"LAO",1994,0,-2.23896864084301,-0.715000733755908,-1.48997651680956
"LAO",1995,0,-2.29398348792639,-0.727357599043566,-1.61012117179871
"LAO",1996,0,-2.25234548829031,-0.686091829603026,-1.68569665169543
"LAO",1997,0,-2.23457940819432,-0.596874549048433,-1.79081750771524
"LAO",1998,0,-2.01417141766567,-0.720225744193127,-1.90061289536946
"LAO",1999,0,-2.05957593758772,-0.759478260975613,-1.93232223910748
"LAO",2000,0,-2.18904615177819,-0.564568441687343,-2.18100044791971
"LAO",2001,0,-2.22525843077792,-0.392323744275503,-2.34811789710726
"LAO",2002,0,-2.20842011219314,-0.663696405646843,-1.94167145746913
"LAO",2003,0,-2.29375034779306,-0.461082084539043,-2.43001981871634
"LAO",2004,0,-2.22300533778293,-0.340744532123449,-2.4428267217115
"LAO",2005,0,-2.15364507069307,-0.51455371760792,-2.41370060129865
"LAO",2006,1,-2.03886183275743,-0.595478990462707,-2.469249921456
"LAO",2007,0,-2.06889078108278,-0.358219231219658,-2.83646383069644
"LAO",2008,0,-2.04007394026654,-0.52953920229772,-2.6868561239306
"LAO",2009,0,-2.09436097191019,-0.491596114384761,-2.64056226674912
"LAO",2010,0,-2.0094032530498,-0.481590776012028,-2.94294073618329
"LAO",2011,0,-1.93771169274035,-0.472967531404034,-3.10928824809377
"LAO",2012,0,-1.87435712326619,-0.522775962240348,-2.90299125230393
"LAO",2013,0,-1.87441422497341,-0.439128751512082,-3.27589325493889
"LAO",2014,0,-1.86603685489326,-0.518080644284682,-3.25212385533795
"LAO",2015,0,-1.99807113662517,-0.190230447729663,-3.40807827252863
